id, uf_id, nome, populacao, latitude, longitude, cod_ibge, cod_siafi
1, 26, Abadia de Goiás, 9158, -16.7573, -49.4412, 5200050, 1050
2, 17, Abadia dos Dourados, 7022, -18.4831, -47.3916, 3100104, 4001
3, 26, Abadiânia, 20873, -16.197, -48.7057, 5200100, 9201
4, 17, Abaeté, 23263, -19.1551, -45.4444, 3100203, 4003
5, 5, Abaetetuba, 160439, -1.72183, -48.8788, 1500107, 0401
6, 10, Abaiara, 11965, -7.34588, -39.0416, 2300101, 1301
7, 16, Abaíra, 8681, -13.2488, -41.6619, 2900108, 3301
8, 16, Abaré, 20594, -8.72073, -39.1162, 2900207, 3303
9, 21, Abatiá, 7360, -23.3049, -50.3133, 4100103, 7401
10, 22, Abdon Batista, 2534, -27.6126, -51.0233, 4200051, 9939
11, 5, Abel Figueiredo, 7536, -4.95333, -48.3933, 1500131, 0375
12, 22, Abelardo Luz, 18015, -26.5716, -52.3229, 4200101, 8001
13, 17, Abre Campo, 13434, -20.2996, -42.4743, 3100302, 4005
14, 13, Abreu e Lima, 100698, -7.90072, -34.8984, 2600054, 2631
15, 7, Abreulândia, 2609, -9.62101, -49.1518, 1700251, 0337
16, 17, Acaiaca, 3995, -20.359, -43.1439, 3100401, 4007
17, 8, Açailândia, 113783, -4.94714, -47.5004, 2100055, 0961
18, 16, Acajutiba, 15214, -11.6575, -38.0197, 2900306, 3305
19, 5, Acará, 55744, -1.95383, -48.1985, 1500206, 0403
20, 10, Acarape, 15140, -4.22083, -38.7055, 2300150, 1231
21, 10, Acaraú, 63556, -2.88769, -40.1183, 2300200, 1303
22, 11, Acari, 11106, -6.4282, -36.6347, 2400109, 1601
23, 9, Acauã, 7119, -8.21954, -41.0831, 2200053, 0266
24, 23, Aceguá, 4981, -31.8665, -54.1615, 4300034, 1118
25, 10, Acopiara, 54687, -6.08911, -39.448, 2300309, 1305
26, 25, Acorizal, 5309, -15.194, -56.3632, 5100102, 9001
27, 2, Acrelândia, 15721, -9.82581, -66.8972, 1200013, 0643
28, 26, Acreúna, 22710, -17.396, -50.3749, 5200134, 9645
29, 11, Açu, 58743, -5.58362, -36.914, 2400208, 1603
30, 17, Açucena, 9270, -19.0671, -42.5419, 3100500, 4009
31, 20, Adamantina, 35153, -21.682, -51.0737, 3500105, 6101
32, 26, Adelândia, 2515, -16.4127, -50.1657, 5200159, 9769
33, 20, Adolfo, 3545, -21.2325, -49.6451, 3500204, 6103
34, 21, Adrianópolis, 5797, -24.6606, -48.9922, 4100202, 7403
35, 16, Adustina, 17209, -10.5437, -38.1113, 2900355, 3253
36, 13, Afogados da Ingazeira, 37546, -7.74312, -37.631, 2600104, 2301
37, 11, Afonso Bezerra, 11024, -5.49229, -36.5075, 2400307, 1605
