id, cidade_id, slug, nome_fantasia, dt_inicio_atividade, cnae_fiscal, cep, porte
1,1354,a-l-magazine,A & L MAGAZINE,1998-02-02,4782201,46200000,1
2,4333,amm,A.M.M,1997-12-19,9430800,41900475,5
3,3673,acapsal,ACAPSAL,2003-04-29,9430800,48603970,5
4,873,acepa,ACEPA,1997-12-01,9430800,46400000,5
5,4495,acougue-sao-jose,ACOUGUE SAO JOSE,1998-02-17,4722901,48880000,1
6,2789,aelson-moreira,AELSON MOREIRA,2003-06-12,4744099,46140000,1
7,1334,amadef,AMADEF,1997-10-24,9430800,44540000,5
8,3673,ambavinsf,AMBAVINSF,2002-12-18,9430800,48608590,5
9,2568,as-ferragens,AS FERRAGENS,2003-06-18,4744099,45211000,5
10,4035,asprocop,ASPROCOP,1998-02-10,9430800,45416000,5
11,3863,assentamento-panorama,ASSENTAMENTO PANORAMA.,2000-09-25,9430800,44830000,5
12,2372,assistec,ASSISTEC,2000-06-12,6920601,45700000,1
13,2098,assoc-dos-prod-rurais-e-mor-do-assent-pai-inacio,ASSOC. DOS PROD. RURAIS E MOR. DO ASSENT. PAI INACIO,2003-01-16,9430800,46760000,5
14,4333,associacao-teatro-da-barra-espaco-cultural-carmen-assis,ASSOCIAÇÃO TEATRO DA BARRA ESPACO CULTURAL CARMEN ASSIS,2000-08-30,9001999,40140240,5
15,93,auri-confeccoes,AURI CONFECCOES,2000-09-08,4781400,48070220,1
16,680,auto-lata-reciclagem,AUTO LATA RECICLAGEM,1998-02-25,3831999,47600000,5
17,5413,auto-pecas-alves,AUTO PECAS ALVES,1997-10-17,4530703,46810000,1
18,3976,auto-posto-caraiva,AUTO POSTO CARAIVA,2005-04-25,4731800,45810000,5
19,542,balalaika-center,BALALAIKA CENTER,2000-09-19,5611203,47807150,1
20,1730,bomboniere-sensacao,BOMBONIERE SENSACAO,2000-09-15,4721104,45820970,1
21,4951,braga-motos,BRAGA MOTOS,2003-02-11,4541206,46900000,1
22,3586,bruna-cosmeticos,BRUNA COSMETICOS,1998-01-23,4772500,46190000,1
23,3997,cabana-selena,CABANA SELENA,2001-02-01,5611201,45980000,5
24,1334,caixa-escolar,CAIXA ESCOLAR,1997-07-29,8513900,44540000,5
25,2231,casa-da-quimica,CASA DA QUIMICA,2005-04-26,4759899,45570000,1
26,4349,casa-estrela,CASA ESTRELA,1998-01-26,5611203,44150000,1
27,520,cb-telecon,CB TELECON,2001-10-01,4221904,45120000,1
28,510,cds-e-cia,CD'S E CIA,1998-01-29,4713004,46650000,1
29,2481,churrascaria-texaco,CHURRASCARIA TEXACO,2003-01-10,5611201,44700000,1
30,2624,cia-do-atacado,CIA DO ATACADO,1998-01-26,4639701,48906600,1
31,1990,clarks-motel,CLARK'S MOTEL,2000-09-28,5510803,46430000,1
32,916,clinica-endocrinologica,CLINICA ENDOCRINOLOGICA,2003-06-11,4618402,42828194,5
33,2481,comercial-rc,COMERCIAL RC,2005-01-11,5211701,44700000,1
34,5536,confeccoes-mechele-rio,CONFECCOES MECHELE RIO,1998-02-06,1411801,45000705,1
35,2624,construtora-ja,CONSTRUTORA JA,2000-09-20,4120400,48900220,1
36,5205,contabilidade-andrade,CONTABILIDADE ANDRADE,1997-10-15,4712100,48770000,1
37,1759,cronos-construcoes,CRONOS CONSTRUCOES,2000-06-07,4120400,44050228,1
38,2172,dattoli-representacoes,DATTOLI REPRESENTACOES,2000-08-29,4616800,45654440,1
39,4981,detonacao-modas,DETONACAO MODAS,2002-03-21,4781400,48970000,1
40,4435,diretorio-municipal-do-pt,DIRETORIO MUNICIPAL DO PT,2000-05-15,9492800,47640000,5
41,510,dr-jairo-silva-goncalves,DR. JAIRO SILVA GONCALVES,2005-06-06,8630501,46650000,1
42,2494,embalagem-e-bomboniere-santa-cruz,EMBALAGEM E BOMBONIERE SANTA CRUZ,2003-05-30,4721104,48967000,1
43,2624,embriolab,EMBRIOLAB,2004-08-02,8640202,48903605,3
44,2098,escola-auto-medrado,ESCOLA AUTO MEDRADO,2003-02-17,8513900,46760000,5
45,4633,escola-primeiros-passos,ESCOLA PRIMEIROS PASSOS,1998-02-06,8512100,47665000,1
46,5058,farmacia-dellavita,FARMACIA DELLAVITA,2003-02-05,4771701,43700000,3
47,1759,farmacias-da-economia,FARMACIAS DA ECONOMIA,2005-03-07,4771701,44001525,3
48,5218,fazenda-recanto,FAZENDA RECANTO,2000-09-08,151202,44270000,1
49,1422,ferragens-lubrificantes-e-auto-pecas-venha-k,FERRAGENS LUBRIFICANTES E AUTO PECAS VENHA K,2000-08-28,4744001,47650000,3
